                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5043,                 1.1104,                 1.6079,                0.67849,                0.66031,                0.63511,                0.35249,                 1.5484,                 1.1473,                 1.8114,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.5152,                 1.1166,                 1.6141,                0.59456,                0.66105,                0.61742,                0.31454,                 1.6877,                 1.3259,                 1.9534,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.5418,                 1.1246,                  1.619,                0.61056,                0.68238,                0.63029,                 0.3451,                 1.5846,                 1.1459,                 1.8289,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.4984,                 1.1036,                 1.5891,                0.61106,                0.70118,                0.64025,                0.34424,                 1.6368,                 1.1711,                 1.8753,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.4836,                 1.0575,                 1.5893,                0.65308,                0.72086,                 0.6862,                0.37806,                 1.5822,                 1.0484,                   1.84,             0.00044576,             0.00044576,             0.00044576
                     40,                  1.495,                 1.0674,                 1.5687,                0.63498,                0.69781,                0.66151,                0.35793,                 1.5323,                 1.0824,                 1.7867,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.4388,                 1.0156,                 1.6345,                0.68514,                 0.6821,                0.66594,                0.36625,                 1.5723,                 1.1165,                 1.8397,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.4032,                0.96069,                 1.6117,                0.64928,                0.71587,                0.66343,                0.36703,                 1.5558,                 1.0603,                 1.8158,             0.00034674,             0.00034674,             0.00034674
                     43,                  1.385,                0.92143,                 1.6044,                0.68671,                 0.7413,                0.70323,                0.38449,                 1.6144,                 1.0537,                 1.8655,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.4144,                0.91626,                 1.6007,                  0.729,                0.69837,                0.71542,                0.40544,                  1.534,                 1.0473,                 1.8155,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.3797,                0.90219,                 1.5808,                0.67924,                0.73373,                0.69202,                0.36786,                 1.6222,                 1.0699,                 1.8868,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3693,                0.88289,                 1.5888,                0.75009,                0.67327,                0.70073,                0.39115,                 1.5734,                 1.0401,                  1.837,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.3584,                0.87374,                 1.5636,                0.74347,                0.68631,                0.70629,                0.39397,                 1.5404,                 1.0201,                  1.822,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.3457,                0.85211,                 1.5605,                0.72547,                 0.6765,                0.69035,                 0.3827,                  1.551,                 1.0337,                 1.8396,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3176,                0.84355,                 1.5281,                0.68065,                 0.6864,                0.69256,                0.38844,                 1.5556,                 1.0211,                 1.8424,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.3125,                0.83138,                 1.5315,                0.67643,                0.73664,                0.69436,                0.37982,                  1.572,                  1.002,                 1.8525,             8.2683e-05,             8.2683e-05,             8.2683e-05
